分類,職種,事業所名,都道府県,産業分類,就業場所,賃金下限,賃金上限,未経験可,運転免許必須,経験,免許資格,PCスキル,学歴,仕事内容,特記事項,出典ファイル,頁
住宅管理・不動産事務,賃貸住宅管理業務,カブシキガイシャアルテマイスター 株式会社アルテマイスター,宮崎,建物売買業，土地売買業,〒880-0864 宮崎県宮崎市吾妻町１５１－８ 宮崎駅から車5分,220000,305000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,エクセル・ワードの簡単な操作,,＊賃貸マンションの管理業務全般 ・入居者からの問い合わせ対応 ・取引業者からの問い合わせ対応 ・退去立ち会い ・その他上記に付随する業務 ＊社用車あり ＊明るい対応ができる方、向上心のある方のご応募を歓迎します。 ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊労働保険に加え、あんしん財団の保険に加入します。 オンライン自主応募可 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,23
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム都城店,タマホームカブシキガイシヤ タマホーム株式会社,宮崎,木造建築工事業,〒885-0006 宮崎県都城市吉尾町７３番１ タマホーム都城店,211000,467000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊全国転勤ありの求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。 応募希望の方は、履歴書（写真貼付）・職歴がある方は職務経歴書 ・ハローワークの紹介状をお送り下さい。書類到着後、１０営業日 程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,24
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム都城店／エリア限定,タマホームカブシキガイシヤ タマホーム株式会社,宮崎,木造建築工事業,〒885-0006 宮崎県都城市吉尾町７３番１ タマホーム都城店,197000,454000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊下記エリア内で転勤の可能性がある求人です。 九州・沖縄エリア：福岡県、佐賀県、長崎県、大分県、熊本県、宮 崎県、鹿児島県、沖縄県 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。書類到 着後、１０営業日程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,25
住宅・リフォーム営業（提案営業）,住宅営業／タマホーム都城店／地域限定,タマホームカブシキガイシヤ タマホーム株式会社,宮崎,木造建築工事業,〒885-0006 宮崎県都城市吉尾町７３番１ タマホーム都城店,195000,441000,False,True,必要な経験・知識・技能等あれば尚可 住宅営業経験、他業種での営業経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,,,モデルハウスに来場されたお客様へ、タマホームの住宅を提 案していただきます。一方的な飛び込み営業は禁止のため、 お客様と一緒にじっくりと「理想の家づくり」が可能！ 主な業務内容は、下記のとおりです。 ●住宅に関するご希望のヒアリング、プラン作成 ●住宅建設地の敷地調査、現地調査、役所調査 ●住宅ローンのご相談等 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊転居をしない範囲で、転勤の可能性がある求人です。 ＊賃金は経験により決定します。 ＊賞与は業績により変動いたします。 ＊応募書類は返送いたしません。 ＊有給休暇については入社時に前倒しで１０日付与となります。 ＜選考の流れ書類選考→面接＞ 質問がない場合、ハローワークの紹介を受ければ事前連絡がなくて も応募可能です。応募希望の方は、履歴書（写真貼付）・職歴があ る方は職務経歴書・ハローワークの紹介状をお送り下さい。書類到 着後、１０営業日程度でご連絡いたします。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,26
＜業界外＞介護・看護・給食,看護職員／住宅型有料老人ホーム風のガーデン,,宮崎,老人福祉・介護事業,〒 宮崎県宮崎市,196000,226000,True,False,必要な経験・知識・技能等不問,准看護師必須 看護師必須 いずれかの免許・資格所持で可,,,定員４５床、施設での看護業務全般の仕事です。 ＊残業はほとんどありません。 ＊未経験の方も資格があれば応募できます。 ＊シニア世代の方も応募できます。 ※現在、正・准看護師が３名在職中です。 ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊マイカー通勤については任意加入必須 ＊賞与は勤務１年経過した職員が対象、但し期末手当（３月）は対 象となります。 ＊お子様の学校行事や病気等でのお休みについてもご相談ください ＊応募前の施設見学もできます。事前にお問い合わせください。 【仕事と子育て両立応援求人】 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,27
＜業界外＞介護・看護・給食,介護職員／住宅型有料老人ホーム風のガーデン,カブシキガイシャサン・シティミヤザキ 株式会社サン・シティ宮崎,宮崎,老人福祉・介護事業,〒880-0951 宮崎県宮崎市大塚町水流５１２４－１ 「住宅型有料老人ホーム風のガーデン」 宮崎駅から車10分,186000,196000,True,False,必要な経験・知識・技能等不問,ホームヘルパー１級あれば尚可 介護職員初任者研修修了者必須 介護福祉士あれば尚可 いずれかの免許・資格所持で可,,,日勤勤務の職員の募集です。 ・食事、トイレ、入浴の介助、オムツ交換等の介護業務全般を行っ て頂きます。 ＊４５床の定員です。 ＊看護職員３名勤務していますので医療的ケアは補助となります ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・賞与は勤務１年経過した職員が対象、但し期末手当（３月）は対 象となります。 ＊お子様の学校行事や病気等でのお休みについてもご相談ください ＊応募前の施設見学もできます。事前にお問い合わせください。 ＊夜勤希望の場合は１６時〜翌日１０時（１６時間）勤務になりま す。 ※夜勤手当あり 【仕事と子育て両立応援求人】 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,28
＜業界外＞介護・看護・給食,介護職員（夜勤あり）／住宅型有料老人ホーム童,カブシキガイシャカイコーポレーション 株式会社カイコーポレーション,宮崎,老人福祉・介護事業,〒889-1602 宮崎県宮崎市清武町今泉甲３７８５番地１ 「住宅型有料老人ホーム童」 清武駅から車10分,187000,230000,False,False,必要な経験・知識・技能等あれば尚可 介護実務経験,ホームヘルパー２級必須 介護職員初任者研修修了者必須 いずれかの免許・資格所持で可,,,施設見学随時受け付けております！ 清武インターから車で５分程の有料老人ホームでのお仕事です。 【有料老人ホーム、デイサービス、訪問介護併設施設】 ★有料老人ホーム・訪問介護業務内容 巡視、カルテ記入、トイレ介助、オムツ交換、食事介助、入浴介助 、バイタルチェック、シーツ交換、洗濯等 ★デイサービスのみの業務 上記業務に加え、利用者様へのレクレーション業務あり ＊夜勤回数３〜４回※夜勤回数は増減可能です。 ＊利用定員３０名 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊希望者はお昼の社食があります。 ＊通勤手当は、片道２キロ以上から事務所規定により支給。 ＊昇給、賞与については、会社実績によります。 ＊月の平均所定労働時間は１７３時間です。 ◎上位資格取得の支援制度あります！ ＊応募で迷われている方、是非一度見学にいらしてください。 見学は随時受け付けております。 ★車で宮崎市内から２５分程、日南北郷インターから２０分程、清 武インターから５分程の所にあります。 【仕事と子育て両立応援求人】 参観日や学校行事などに参加しやすい職場環境を整えています！ より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,29
施工管理・現場監督（工務）,住宅建築に関わる工務全般,カブシキガイシャサクラホームミヤザキ 株式会社さくらホーム宮崎,宮崎,建築リフォーム工事業,〒880-0924 宮崎県宮崎市大字郡司分甲２８６６番地２ 日南線南方駅から徒歩10分,250000,300000,False,True,必要な経験・知識・技能等必須 建築に関わる実務経験,二級建築士あれば尚可 普通自動車運転免許必須 （AT限定可）,,,住宅建築に関わる工務全般 ・注文住宅での施主との打合せなど、お客様との応対業務に携わっ ていただきます。 ・現場管理、現地調査、見積書の提供など住宅建築に不随する業務 全般を行います。 ・パソコンを使用します。 ＊社有車あり（ＡＴ車） ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,30
施工技能職（大工・内外装・基礎・足場ほか）,＜急募＞住宅湿気対策工事等／宮崎出張所,カブシキガイシャピコイ 株式会社ピコイ,宮崎,その他の職別工事業,〒889-1605 宮崎県宮崎市清武町加納甲１７３３－３１１２号 当社宮崎出張所,270000,400000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定不可）,,,●防水シート、床下換気扇の設置 ●テクノガード（硬化樹脂被膜工法）の施工 ●シロアリ等害虫駆除工事、断熱工事など 業界Ｎｏ．１の給与を目指しており、努力すればするほど昇給する ことができます。上記の業務以外にも、ハウスメーカー・工務店を 通じての敷地調達、地盤調査、地盤改良・床暖房・瑕疵担保取次、 防水・断熱・シロアリ駆除・リフォーム工事等を行っております。 これら業務全般を手伝っていただくこともあります。 ○経験のない業務でも、丁寧に指導・教育いたします。 ※変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・制服、作業服あり。 ・業務上、車を使用する場合、社有車有。 ・試用期間は勤務態度、能力により早まる可能性あり。 ・３６協定特別条項締結済み ＊当社は上場会社フリージアマクロスのグループ企業です。 ＊グループ全体３，２００名、資本金９０億円、年商８８０億円、 純資産５００億円（グループ合計ベース） ＊業績急拡大につき増員します。＊平均年齢は２０代です。 ・特に質問等がなければ、事前連絡なくても紹介状をお受取りの上 応募書類を東京本社（東京都千代田区）担当：井上宛に送付して 下さい。 ■次のような方歓迎 ＊元気な会社に入社して出世のチャンスを狙っている。 ＊がんばりをちゃんと評価してもらえる会社で働きたい。 ＊急成長する会社で一発逆転、稼いでいきたい。 ※１人１人の頑張りを毎月、透明なルールで還元する会社で働きた い。 ・応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,31
住宅・リフォーム営業（提案営業）,リフォーム訪問営業,カブシキガイシャタテヤマトケン 株式会社立山塗建,宮崎,塗装工事業,〒899-5111 鹿児島県霧島市隼人町姫城７１０－５ または「霧島営業所」「鹿児島営業所」「宮崎営業所」,180000,180000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定可）,,,○リフォーム工事の営業全般に従事します。 ・その他付随する業務 ＊営業範囲は、鹿児島県内一円です。 直行直帰、乗り合わせで向かう場合もあります。 ＊社用車（ＡＴ）使用 ＊従事すべき業務の変更の範囲：変更なし ≪トライアル雇用併用求人（トライアル雇用対象者の選考について は、面接選考とする）≫ 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊マイカー通勤可：駐車場：敷地内／本人負担なし ＊応募にはハローワーク紹介状が必要です。 ◆トライアル雇用併用求人（期間３ヶ月：労働条件不変） ※営業所住所 「霧島営業所」：鹿児島県霧島市国分野口町２－１８－２Ｆ 「鹿児島営業所」：鹿児島県鹿児島市城西１丁目１－１－１Ｆ 「宮崎営業所」：宮崎県宮崎市清武町加納４丁目３９番地 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,32
＜業界外＞介護・看護・給食,夜勤専従看護職（住宅型有料老人ホーム）,カブシキガイシャキズナ 株式会社絆,宮崎,老人福祉・介護事業,〒885-0085 宮崎県都城市平塚町９９６５－１ 日豊本線五十市駅から車5分,185000,210000,False,False,必要な経験・知識・技能等あれば尚可 福祉施設等で経験があれば尚可,看護師必須 准看護師必須 いずれかの免許・資格所持で可,,,＊住宅型有料老人ホームにて看護・介護の夜勤勤務 ・食事介助、排泄介助、オムツ交換、服薬管理等 ・月に１０回（２０日）程度の勤務になります。 【変更範囲：変更なし】 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,33
住宅・リフォーム営業（提案営業）,分譲住宅の企画営業／宮崎営業所,カブシキガイシャアーネストワン 株式会社アーネストワン,宮崎,建物売買業，土地売買業,〒880-0805 宮崎県宮崎市橘通東３－１－４７宮崎プレジデントビル１０１ 当社「宮崎営業所」 ＪＲ宮崎駅から徒歩14分,285000,415000,False,True,必要な経験・知識・技能等必須 業界問わず営業経験１年以上 ハウスメーカー、不動産業経験者尚良し,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 建築士，施工管理技士をお持ちの方も優遇します。 普通自動車運転免許必須 （AT限定可）,エクセル初級レベル ※関数等の知識は問いません。,,当社戸建分譲住宅（クレイドルガーデン）の事業・企画営業 ＊戸建分譲地の企画 ＊戸建用地の仕入れ ＊土地の区割り及び建物のプランニング ＊仲介業者との打合せ（販売は外部業者へ委託） ＊契約および完成物件の引渡しに同席 ※仲介、販売業務ではありません。 ◆業務変更範囲：会社の定める業務 転勤の可能性；あり／法人内の事業所 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊住宅手当は自己名義で契約（共同名義可）し、 世帯主である場合に支給します。 ＊応募時は、応募書類を本社へ郵送又は データ添付の上メールをご送付下さい。 求人に関するお問合わせは 極力メールにてお願い致します。 【アドレス】ｊｉｎｊｉ＠ａｒｎｅｓｔ１．ｃｏ．ｊｐ ＊応募時の事前連絡は不要です。 求人についての詳細など、当社ホームページ【求人情報】でもご覧 いただけます。ご覧下さい。 ｈｔｔｐｓ：／／ｗｗｗ．ａｒｎｅｓｔ．ｃｏ．ｊｐ／ｒｅｃｒｕ ｉｔ／ より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,34
メンテナンス・アフターサービス・点検,住宅メンテナンス工事／宮崎出張所,カブシキガイシャピコイ 株式会社ピコイ,宮崎,その他の職別工事業,〒889-1605 宮崎県宮崎市清武町加納甲１７３３－３１１２号 当社宮崎出張所,270000,400000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定不可）,,,●住宅の基礎の補強・補修工事 ●内外装のリフォーム・塗装・防湿工事 ●防水・断熱・シロアリ駆除工事など 業界Ｎｏ．１の給与を目指しており、努力すればするほど昇給する ことができます。上記の業務以外にも、ハウスメーカー・工務店を 通じての敷地調査、地盤調査、地盤改良、床暖房、瑕疵担保取次、 防水・断熱・シロアリ駆除・リフォーム工事等を行っております。 これら業務全般を手伝っていただくこともあります。 ＊経験のない業務でも、丁寧に指導・教育いたします。 ※変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・制服、作業服あり。 ・業務上、車を使用する場合、社有車あり。 ・試用期間は、勤務態度・能力により早まる可能性あり。 ・３６協定特別条項締結済み ＊当社は上場会社フリージアマクロスのグループ企業です。 ※グループ全体３，２００名、資本金９０億円、年商８８０億円、 純資産５００億円（グループ合計ベース） ＊業績急拡大につき増員します。※平均年齢は２０代です。 ・特に質問等がなければ、事前連絡なくても紹介状をお受け取りの うえ、応募書類を東京本社（東京都千代田区）担当井上宛に郵送 して下さい。 ■次のような方歓迎 ＊元気な会社に入社して出世のチャンスを狙っている。 ＊がんばりをちゃんと評価してもらえる会社で働きたい。 ＊急成長する会社で一発逆転、稼いでいきたい。 ＊１人１人の頑張りを毎月、透明なルールで還元する会社で働きた い。 ・応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,35
住宅・リフォーム営業（提案営業）,新築住宅アドバイザー／都城スタジオ,カブシキガイシャピースホーム 株式会社ピースホーム,宮崎,一般土木建築工事業,〒885-0012 宮崎県都城市上川東１－１２－５ 「都城スタジオ」 日豊本線都城駅から車4分,227000,349000,False,True,必要な経験・知識・技能等あれば尚可 ・住宅、不動産業界 ・ハウスメーカーでの勤務経験 ・接客業（販売や飲食店など）,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,Ｗｏｒｄ・Ｅｘｃｅｌ・ＰｏｗｅｒＰｏｉｎｔの基本的な操作,,【お仕事内容】 ピースホームの新築戸建住宅の アドバイザーとして、お客様のご相談や ご要望に対応していただきます。 ━━━━━【対象のお客様】━━━━━ モデルハウス見学会や住宅相談会にご来場のお客様 ホームページやＳＮＳからお問い合わせいただいたお客様 ━━━━━【お仕事の魅力】━━━━━━ 「アドバイザー」という職種のため、営業というよりもお客様の相 談役として活躍できます！ お客様の理想の住まいづくりをサポートするやりがいのあるお仕事 です 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊ブランクのある方でも段階を踏んで丁寧に指導、 サポートしますので、安心して勤務して頂けます。 先輩社員による、実務に取り組みながら知識、スキルを身につけ ていくための研修など新人教育が充実しております。 ＊新人研修以外にも研修制度が充実しています。 ご希望があればキャリアアップのためのサポートも行います。 ＊有給が取得しやすい会社です。 ＊仕事と家庭の両立応援宣言企業です。 ワークライフバランスを重視した働き方ができます。 ＊宮崎県認定の働きやすい職場「ひなたの極」取得事業所です。 ＊子育て世代が活躍中。服装はオフィスカジュアルです。 ※昇給：評価制度により昇給・降給があります。 ※賞与：実績・評価によります。 お客様の夢を叶えるお手伝いをしたい方、人との会話や接客が得意 な方、スケジュール管理が得意な方に最適なお仕事です。 ホームページもございますので、是非ご覧下さい。 ｈｔｔｐｓ：／／ｗｗｗ．ｐｅａｃｅｈｏｍｅ．ｊｐ より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,36
施工管理・現場監督（工務）,新築住宅アドバイザー／ひなた工務店（宮崎大橋店）,カブシキガイシャピースホーム 株式会社ピースホーム,宮崎,一般土木建築工事業,〒880-0022 宮崎県宮崎市大橋２丁目１４２－１ 「ひなた工務店（宮崎大橋店）」 日豊本線宮崎駅から車8分,240000,360000,False,True,必要な経験・知識・技能等あれば尚可 ・不動産業界・接客業（販売や飲食店など）・ハウスメーカーでの 勤務経験 ・ＣＡＤ（ＷＩＨ）の操作経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,ワード・エクセル・パワーポイントの操作,,＊お客様の夢の詰まった新築戸建住宅のアドバイザーとして お客様のご相談、ご要望にお応えし、サポートするお仕事です。 ＊モデルハウス見学会・住宅相談会にお越しのお客様やホームペー ジからお問い合わせ頂いたお客様に対応して頂きます。 ・土地や間取りの相談、現地の確認 ・資金計画や土地購入に必要な書類作成 ・地鎮祭などのイベントのサポート ・完成後の引き渡し、アフターケアなど ＊社有車あり ＊エリア：主に宮崎県内 ＊変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊未経験の方やブランクのある方でも段階を踏んで丁寧に指導、 サポートしますので、安心して勤務して頂けます。 先輩社員による、実務に取り組みながら知識、スキルを身につけ ていくための研修など新人教育が充実しております。 ＊新人研修以外にもリーダー研修等の研修制度が充実しています。 ご希望があればキャリアアップのためのサポートも行います。 ＊有給が取得しやすい会社です。 ＊仕事と家庭の両立応援宣言企業です。ワークライフバランスを重 視した働き方ができます。 ＊宮崎県認定の働きやすい職場「ひなたの極」取得事業所です。 ＊子育て世代が活躍中。服装はオフィスカジュアルです。 ※昇給：評価制度により昇給・降給があります。 ※賞与：実績・評価によります。 ※オンライン自主応募可 お客様の夢を叶えるお手伝いをしたい方、人との会話や接客が得意 な方、スケジュール管理が得意な方に最適なお仕事です。 ホームページもございますので、是非ご覧下さい。 ｈｔｔｐｓ：／／ｗｗｗ．ｐｅａｃｅｈｏｍｅ．ｊｐ より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,37
施工管理・現場監督（工務）,新築住宅アドバイザー／ひなた工務店（都城上川東店）,カブシキガイシャピースホーム 株式会社ピースホーム,宮崎,一般土木建築工事業,〒885-0012 宮崎県都城市上川東３丁目８－１ 「ひなた工務店（都城上川東店）」 日豊本線都城駅から車4分,240000,360000,False,True,必要な経験・知識・技能等あれば尚可 ・不動産業界・接客業（販売や飲食店など）・ハウスメーカーでの 勤務経験 ・ＣＡＤ（ＷＩＨ）の操作経験,宅地建物取引士（旧：宅地建物取引主任者）あれば尚可 普通自動車運転免許必須 （AT限定可）,ワード・エクセル・パワーポイントの操作,,＊新ブランドオープニングスタッフを募集します。 ＊お客様の夢の詰まった新築戸建住宅のアドバイザーとして お客様のご相談、ご要望にお応えし、サポートするお仕事です。 ＊モデルハウス見学会・住宅相談会にお越しのお客様やホームペー ジからお問い合わせ頂いたお客様に対応して頂きます。 ・土地や間取りの相談、現地の確認 ・資金計画や土地購入に必要な書類作成、ＣＡＤでの図面作成 ・地鎮祭などのイベントのサポート ・完成後の引き渡し、アフターケアなど ＊社有車あり＊エリア：主に宮崎県内 変更範囲：会社の定める業務 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ＊未経験の方やブランクのある方でも段階を踏んで丁寧に指導、 サポートしますので、安心して勤務して頂けます。 先輩社員による、実務に取り組みながら知識、スキルを身につけ ていくための研修など新人教育が充実しております。 ＊新人研修以外にもリーダー研修等の研修制度が充実しています。 ご希望があればキャリアアップのためのサポートも行います。 ＊有給が取得しやすい会社です。 ＊仕事と家庭の両立応援宣言企業です。ワークライフバランスを重 視した働き方ができます。 ＊宮崎県認定の働きやすい職場「ひなたの極」取得事業所です。 ＊子育て世代が活躍中。服装はオフィスカジュアルです。 ※昇給：評価制度により昇給・降給があります。 ※賞与：実績・評価によります。 お客様の夢を叶えるお手伝いをしたい方、人との会話や接客が得意 な方、スケジュール管理が得意な方に最適なお仕事です。 ホームページもございますので、是非ご覧下さい。 ｈｔｔｐｓ：／／ｗｗｗ．ｐｅａｃｅｈｏｍｅ．ｊｐ より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,38
住宅・リフォーム営業（提案営業）,準社員／リフォーム営業／ヤマダデンキ都城店／０１１６,カブシキガイシャヤマダデンキ 株式会社ヤマダデンキ,宮崎,機械器具小売業（自動車，,〒885-0006 宮崎県都城市吉尾町１番地１ ヤマダデンキテックランド都城店 都城駅から徒歩10分,216543,262683,False,True,必要な経験・知識・技能等あれば尚可 ※リフォーム営業経験者歓迎！,普通自動車運転免許必須 （AT限定可）,,,●仕事内容 リフォーム商品販売営業 １日２〜３件のアポイント済のお客様宅に訪問し提案。 難しい改築リフォームなどは、建築士がアドバイスや上司 が同行応援してくれるので未経験者をサポート。安心して 提案できるお仕事です。 ●仕事内容補足 若手からシニアの方まで幅広く活躍頂ける職場環境です！ 未経験者には、マニュアル・研修完備！経験者は特別優遇！ 【変更の範囲：リフォーム営業事務及び当社が定める業務】 正社員以外 正社員以外の名称準社員 正社員登用ななしし 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ※リフォーム営業職務手当１５，６１７円〜２１，６５７円 （固定残業代とリフォーム営業職務手当の合計額は５０，０００円 です） ※最低賃金法を遵守します。 ※雇止めは満６５歳迄です。 ※履歴書、紹介状、職務経歴書を 人事部人事課（群馬県高崎市） 宛てに郵送下さい。事前連絡は不要です。 ※質問等はハローワークの窓口を通じて行って下さい。 ※応募書類は返却致しません。 ※応募書類より取得した個人情報は 採用以外の目的には使用致しません。 ※応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,39
施工技能職（大工・内外装・基礎・足場ほか）,＜急募＞リフォーム工事等／宮崎出張所,カブシキガイシャピコイ 株式会社ピコイ,宮崎,その他の職別工事業,〒889-1605 宮崎県宮崎市清武町加納甲１７３３－３１１２号 当社宮崎出張所,270000,400000,True,True,必要な経験・知識・技能等不問,普通自動車運転免許必須 （AT限定不可）,,,●外装・水廻りのリフォーム工事 ●防水・断熱工事、シロアリ等害虫駆除工事 ●改装・改築、増築、増改築工事など 業界Ｎｏ．１の給与を目指しており、努力すればするほど昇給する ことができます。上記の業務以外にも、ハウスメーカー・工務店を 通じての敷地調査、地盤調査、地盤改良、床暖房、瑕疵担保取次、 防水・断熱・シロアリ駆除等を行っております。これら業務全般を 手伝っていただくこともあります ※経験のない業務でも、丁寧に指導・教育いたします。 変更範囲：変更なし 正社員 正社員登用 正社員登用の実績（過去３年間） 就業形態派遣・請負ではない,求人に関する特記事項 ・制服、作業服あり。 ・業務上、車を使用する場合、社用車有。 ・試用期間は勤務態度、能力により早まる可能性あり。 ・３６協定特別条項締結済み ＊当社は上場会社フリージアマクロスのグループ企業です。 ＊グループ全体３，２００名、資本金９０億円、年商８８０億円、 純資産５００億円（グループ合計ベース） ＊業績急拡大につき増員します。＊平均年齢は２０代です。 ・特に質問等がなければ、事前連絡なくても紹介状をお受取りの上 応募書類を東京本社（東京都千代田区）担当：井上宛に送付して 下さい。 ■次のような方歓迎 ＊元気な会社に入社して出世のチャンスを狙っている。 ＊がんばりをちゃんと評価してもらえる会社で働きたい。 ＊急成長する会社で一発逆転、稼いでいきたい。 ＊１人１人の頑張りを毎月、透明なルールで還元する会社で働きた い。 ・応募にはハローワークの紹介状が必要となります。 より労働条件の明示を受けてください。,2026年9月7日求人票（宮崎県住宅リフォーム）_2.pdf,40
